Id,Genotype,Milieu,Plate,PR_length,Tortuosity,RootArea,LR_length,Grouping,Plants/group,distanceFromHypocotyl,ShootArea,Chlorophyll
P1_5,pgm,Milieu_1,Plate_1,1.05,1.085,0.052,4,6,1,0.440,0.028,0.330
P1_6,pgm,Milieu_1,Plate_1,9.552,1.132,0.297,12.33,8,3,2.553,0.143,2.544
P1_7,pgm,Milieu_1,Plate_1,9.191,1.122,0.297,12.33,8,3,2.553,0.009,0.099
P1_8,pgm,Milieu_1,Plate_1,0.113,1.301,0.004,0,10,1,0.000,0.092,1.813
P1_9,pgm,Milieu_1,Plate_1,5.188,1.140,0.256,12,11,1,1.435,0.006,0.111
P1_10,pgm,Milieu_1,Plate_1,0.921,1.123,0.037,2,12,1,0.027,0.039,0.798
P1_11,pgm,Milieu_1,Plate_1,7.364,1.216,0.392,22,9,1,1.929,0.017,0.228
P1_12,pgm,Milieu_1,Plate_1,4.002,1.128,0.297,12.33,8,3,2.553,0.172,3.299
P1_13,pgm,Milieu_1,Plate_1,0.335,1.087,0.016,1,7,1,0.000,0.040,0.505
P1_14,pgm,Milieu_1,Plate_1,6.834,1.105,0.211,8.33,3,3,2.299,0.160,2.841
P1_15,pgm,Milieu_1,Plate_1,0.783,1.076,0.034,2,4,1,0.025,0.021,0.336
P1_16,pgm,Milieu_1,Plate_1,6.687,1.153,0.273,13,2,1,2.307,0.110,1.883
Q1_1,pgm,Milieu_2,Plate_1,6.266,1.203,0.102,2.5,1,2,2.555,0.077,0.531
Q1_2,pgm,Milieu_2,Plate_1,1.833,1.227,0.102,2.5,1,2,2.555,0.049,0.335
Q1_3,pgm,Milieu_2,Plate_1,0.77,1.113,0.033,2,3,1,0.468,0.173,1.130
Q1_4,pgm,Milieu_2,Plate_1,9.815,1.200,0.311,16,2,3,2.672,0.053,0.366
Q1_5,pgm,Milieu_2,Plate_1,8.39,1.135,0.311,16,2,3,2.672,0.171,1.197
Q1_6,pgm,Milieu_2,Plate_1,7.701,1.350,0.311,16,2,3,2.672,0.265,2.147
Q1_7,pgm,Milieu_2,Plate_1,7.069,1.187,0.340,15,4,1,2.303,0.075,0.837
Q1_8,pgm,Milieu_2,Plate_1,4.894,1.254,0.124,6,5,1,1.534,0.029,0.187
Q1_9,pgm,Milieu_2,Plate_1,7.822,1.233,0.229,12,6,1,2.318,0.103,0.856
Q1_10,pgm,Milieu_2,Plate_1,8.233,1.191,0.283,14,7,1,2.664,0.064,0.481
Q1_11,pgm,Milieu_2,Plate_1,8.044,1.203,0.279,11.5,8,2,2.392,0.021,0.157
Q1_12,pgm,Milieu_2,Plate_1,6.691,1.120,0.279,11.5,8,2,2.392,0.107,0.845
Q1_13,pgm,Milieu_2,Plate_1,10.452,1.252,0.258,14.33,9,6,2.794,0.153,1.158
Q1_14,pgm,Milieu_2,Plate_1,2.578,1.108,0.258,14.33,9,6,2.794,0.094,0.818
Q1_15,pgm,Milieu_2,Plate_1,7.307,1.179,0.258,14.33,9,6,2.794,0.191,2.053
Q1_16,pgm,Milieu_2,Plate_1,8.576,1.160,0.258,14.33,9,6,2.794,0.160,1.107
Q1_17,pgm,Milieu_2,Plate_1,3.058,1.164,0.258,14.33,9,6,2.794,0.059,0.336
Q1_18,pgm,Milieu_2,Plate_1,4.906,1.167,0.258,14.33,9,6,2.794,0.156,1.526
Q2_1,pgm,Milieu_2,Plate_2,6.146,1.149,0.164,8,1,2,1.948,0.043,0.406
Q2_2,pgm,Milieu_2,Plate_2,1.614,1.086,0.164,8,1,2,1.948,0.134,0.930
Q2_3,pgm,Milieu_2,Plate_2,9.907,1.171,0.546,28,2,2,2.847,0.165,1.271
Q2_4,pgm,Milieu_2,Plate_2,10.207,1.179,0.546,28,2,2,2.847,0.226,1.787
